market,date_started,week_end_date,price_per_quintal,year,month
Karvi APMC,2025-11-01,2025-11-08,1676.0,2025,11
Kasganj APMC,2025-11-01,2025-11-08,1940.15,2025,11
Kayamganj APMC,2025-11-01,2025-11-08,1869.12,2025,11
Khaga APMC,2025-11-01,2025-11-08,1972.77,2025,11
Khair APMC,2025-11-01,2025-11-08,2240.38,2025,11
Khairagarh APMC,2025-11-01,2025-11-08,3050.0,2025,11
Khalilabad APMC,2025-11-01,2025-11-08,1550.0,2025,11
Khandhla APMC,2025-11-01,2025-11-08,2607.14,2025,11
Khatauli APMC,2025-11-01,2025-11-08,1300.0,2025,11
Khekda APMC,2025-11-01,2025-11-08,2000.0,2025,11
Khurja APMC,2025-11-01,2025-11-08,1902.69,2025,11
Kiratpur APMC,2025-11-01,2025-11-08,2313.16,2025,11
Konch APMC,2025-11-01,2025-11-08,,2025,11
Kopaganj APMC,2025-11-01,2025-11-08,1293.86,2025,11
Kosikalan APMC,2025-11-01,2025-11-08,1714.67,2025,11
Lakhimpur APMC,2025-11-01,2025-11-08,2018.57,2025,11
Lalganj APMC,2025-11-01,2025-11-08,1550.0,2025,11
Lalitpur APMC,2025-11-01,2025-11-08,1652.7,2025,11
Lucknow APMC,2025-11-01,2025-11-08,2072.24,2025,11
Madhoganj APMC,2025-11-01,2025-11-08,2049.04,2025,11
Mahoba APMC,2025-11-01,2025-11-08,1919.09,2025,11
Maigalganj APMC,2025-11-01,2025-11-08,2509.37,2025,11
Mainpuri APMC,2025-11-01,2025-11-08,1909.45,2025,11
Manjhanpur APMC,2025-11-01,2025-11-08,2041.77,2025,11
Mathura APMC,2025-11-01,2025-11-08,1674.76,2025,11
Mauranipur APMC,2025-11-01,2025-11-08,1960.77,2025,11
Mawana APMC,2025-11-01,2025-11-08,1283.33,2025,11
Meerut APMC,2025-11-01,2025-11-08,1820.87,2025,11
Mehmoodabad APMC,2025-11-01,2025-11-08,2034.85,2025,11
Milak APMC,2025-11-01,2025-11-08,1830.0,2025,11
Mirzapur APMC,2025-11-01,2025-11-08,1970.33,2025,11
Mohamadabad APMC,2025-11-01,2025-11-08,1874.71,2025,11
Mohammdi APMC,2025-11-01,2025-11-08,1860.59,2025,11
Moth APMC,2025-11-01,2025-11-08,1666.04,2025,11
Mugrabaadshahpur APMC,2025-11-01,2025-11-08,1895.92,2025,11
Muradabad APMC,2025-11-01,2025-11-08,1846.38,2025,11
Muradnagar APMC,2025-11-01,2025-11-08,1958.33,2025,11
Muskara APMC,2025-11-01,2025-11-08,2278.18,2025,11
Muzzafarnagar APMC,2025-11-01,2025-11-08,,2025,11
Naanpara APMC,2025-11-01,2025-11-08,2188.89,2025,11
Nagina APMC,2025-11-01,2025-11-08,,2025,11
Najibabad APMC,2025-11-01,2025-11-08,,2025,11
Naugarh APMC,2025-11-01,2025-11-08,1980.0,2025,11
Nautnava APMC,2025-11-01,2025-11-08,1725.0,2025,11
Nawabganj APMC,2025-11-01,2025-11-08,1921.17,2025,11
Noida APMC,2025-11-01,2025-11-08,1986.7,2025,11
Orai APMC,2025-11-01,2025-11-08,1965.59,2025,11
Paliakala APMC,2025-11-01,2025-11-08,,2025,11
Panchpedwa APMC,2025-11-01,2025-11-08,1659.78,2025,11
Parikshitgarh APMC,2025-11-01,2025-11-08,,2025,11
